year,TEMPpre,DDpre,UWpre.a,UWpre.b,TEMPspawn,DDspawn,MLDegg,CSTegg.s.s,CSTegg.s.d,CSTegg.n.s,CSTegg.n.d,LSTegg.s,LSTegg.d,PUegg,DDegg.s,DDegg.d,MLDyolk,CSTyolk.s,CSTyolk.n,LSTyolk,PUyolk,DDyolk,MLDlarv,LSTlarv,CSTlarv.s,CSTlarv.n,PUlarv,UWlarv.cs,UWlarv.cn,UWlarv.bs,UWlarv.bn,DDlarv,MLDlatelarv,LSTlatelarv,CSTlatelarv.s,CSTlatelarv.n,PUlatelarv,UWlatelarv.cs,UWlatelarv.cn,UWlatelarv.bs,UWlatelarv.bn,DDlatelarv,LSTpjuv.age.0,CSTpjuv.age.0.s,CSTpjuv.age.0.n,UWpjuv.age.0.cs,UWpjuv.age.0.cn,UWpjuv.age.0.bs,UWpjuv.age.0.bn,DDpjuv.age.0,SSH.ja.s,SSH.ja.c,SSH.ja.n,SSH.ms.s,SSH.ms.c,SSH.ms.n,EKE.ja.s,EKE.ja.c,EKE.ja.n,EKE.ms.s,EKE.ms.c,EKE.ms.n
2011,NA,NA,NA,NA,7.422272727,53.29,29.87590909,-0.00587195,-0.013000864,0.009474545,0.008876864,0.013282982,0.025296841,0.076465,146.64,104.075,29.439,-0.007565183,0.010016623,0.0297374,0.078701533,170.171,30.07966667,0.06028281,-0.015459767,0.014096967,0.074442967,0.588787333,0.605310667,2.841406667,8.50698,140.555,27.98166667,0.073102167,-0.0204136,0.013639233,0.099465533,0.681554667,0.796777333,3.118766667,11.40816667,116.724,4.120815789,0.000720801,7.27E-05,0.6479,0.781646579,1.373139474,8.053871053,279.01,0.05226181,0.033781833,0.0785699,0.109556789,0.0263445,-0.005423532,0.0168036,0.0182187,0.015774433,0.018051263,0.021309316,0.018708816
2012,7.441259259,131.828,0.389101204,3.149671167,7.175869565,50.045,43.38086957,-0.005575091,-0.022261135,0.004619826,0.010770087,0.029804696,0.064623435,0.064544522,164.73,117.201,41.62833333,-0.0093836,0.00521206,0.036822,0.070865467,181.856,38.88966667,0.062682667,-0.017172273,0.009400093,0.081697667,0.548882567,0.793329833,3.487289,13.01870333,139.667,34.34193548,0.08156,-0.019389065,0.012216542,0.121758065,0.612667097,0.807592581,3.200176774,12.99136355,115.33,4.122512821,0.001455049,0.001278486,0.572165641,0.863024872,1.253509487,10.04838513,287.58,0.045797043,0.005699267,0.0282387,0.104680513,0.010224528,-0.025907533,0.017506533,0.013298367,0.020706967,0.016805897,0.013607923,0.013593154
2013,7.151358491,114.022,0.368031943,2.91379283,7.564727273,56.424,45.47181818,-0.005070097,-0.0157935,0.009202577,0.0156575,0.019040627,0.047333982,0.073329864,164,118.485,40.83333333,-0.009334683,0.010791263,0.0283118,0.058337533,187.55,32.87233333,0.043697333,-0.0113621,0.0122701,0.055979117,0.672755,1.003344,4.478676667,15.07462667,142.11,26.57548387,0.06300571,-0.014739484,0.013341658,0.072216032,0.727191935,0.959898935,4.247383871,15.14039677,119.721,3.985315789,-2.93E-05,0.002367021,0.783885526,0.827040526,2.425357895,9.534358553,276.28,0.066385233,0.005126133,-0.00680986,0.100024211,0.024136974,-0.015007158,0.0150252,0.012015833,0.0085564,0.017465737,0.016703342,0.016123342
2014,6.863296296,100.618,0.482578556,4.660537963,7.475545455,54.462,34.64636364,-0.006484773,-0.016689091,0.022348636,0.023013409,0.031001227,0.059206364,0.060392909,173.59,115.704,33.14533333,-0.008756827,0.021682733,0.039487733,0.052903467,192.58,28.13,0.0518218,-0.009988433,0.022187433,0.0589317,0.5519341,0.724542667,1.762654167,7.670983333,146.417,24.838,0.068299667,-0.01384881,0.025417767,0.108007133,0.646092,0.792611,1.78258,9.108293333,125.11,4.617684211,0.002285274,0.007773758,0.608190526,0.688482368,0.784934211,6.921989474,340.89,0.113614,0.063659,0.058666467,0.172282368,0.065796366,0.030332679,0.0147052,0.0127786,0.012803067,0.020206316,0.013276526,0.021082
2015,7.380444444,128.544,0.369214074,3.18930682,7.651521739,60.985,35.67478261,0.002031957,-0.012192635,0.008410348,0.010208565,0.007768043,0.037576087,0.073449391,210.26,134.5,34.31633333,-0.00467625,0.0119444,0.029921607,0.076437533,212.86,29.64266667,0.054300433,-0.013616933,0.015239267,0.07992182,0.469538333,0.774390333,1.154862,6.82188,151.275,26.36933333,0.079773,-0.018431467,0.019953943,0.125346,0.564786333,0.783690667,1.47232,8.1865,126.659,4.598578947,0.001634808,0.006643568,0.620873421,0.604956053,1.016281579,4.847831053,325.45,0.159652667,0.1103544,0.1156841,0.187022895,0.089300263,0.027075989,0.015906667,0.013739933,0.013258067,0.014447632,0.013178553,0.018537211
2016,7.319358491,122.926,0.462897887,3.793068868,7.962782609,68.144,44.48217391,0.001511822,-0.013451496,0.011921365,0.013817739,0.016074135,0.053153652,0.075894157,209.46,146.1,41.27064516,-0.000834955,0.010972645,0.026686135,0.059827165,231.55,33.35533333,0.0435917,-0.010331277,0.01364962,0.02119107,0.6456995,0.778954667,2.015341333,6.740612333,165.424,27.14290323,0.055094903,-0.013460816,0.012796097,0.07451,0.655041516,0.829734516,2.556579032,7.895980645,133.771,4.250473684,0.002920018,0.002056271,0.552713947,0.751461842,1.436494737,6.937791053,296.52,0.140785484,0.105463906,0.136966903,0.122331316,0.035231368,-0.014664608,0.019063065,0.018551065,0.020268484,0.019233895,0.015312868,0.017506947
2017,7.087462963,112.723,0.337552222,3.749765556,7.433681818,53.541,39.85545455,-0.002361565,-0.016868636,0.009602682,0.016428909,0.041459545,0.072359545,0.084861273,180.59,121.81,36.41233333,-0.005459187,0.013489433,0.04442638,0.0746346,201.43,31.51666667,0.064357167,-0.01011285,0.018779667,0.0856516,0.642395,0.798867667,3.108556667,9.533846667,152.862,26.17833333,0.068612,-0.015492667,0.016248,0.0992338,0.708946333,0.916683,3.629183333,11.48423,125.884,4.424342105,0.002842696,0.001979101,0.609765,0.768975868,1.992467895,9.190502632,288.78,0.0918568,0.065332367,0.102587667,0.110457053,0.031481961,-0.006099418,0.014519733,0.016683567,0.0178851,0.019881079,0.016925395,0.015336684
2018,7.172814815,117.332,0.427420556,3.808768519,7.627913043,60.442,36.62956522,-0.010574235,-0.021786304,0.021356148,0.027516783,0.071129696,0.101265652,0.084674435,190.76,129.96,35.58366667,-0.013812967,0.022847033,0.081084667,0.106151733,202.22,33.316,0.089912333,-0.0197295,0.0215863,0.100400933,0.676557333,0.798512667,3.1644879,8.801153333,153.372,30.191,0.096792667,-0.023310733,0.02063045,0.1231415,0.75276,0.839611667,3.600666667,11.03642267,127.576,4.466815789,0.001259342,2.35E-05,0.643902632,0.978619737,1.947160526,10.82763632,310.21,0.106414,0.045640333,0.047598033,0.132629211,0.045288605,-0.002654034,0.017586333,0.014084733,0.015060567,0.019703158,0.016003605,0.014298211
2019,7.238981132,118.666,0.421456283,3.950984906,7.876956522,66.17,44.66173913,0.005786261,-0.008070178,0.004521739,0.005908296,0.013752557,0.038377696,0.080349478,199.26,138.53,41.61633333,0.003575807,0.00521058,0.022524539,0.080516267,218.4,36.77466667,0.033591567,-0.001439083,0.003918833,0.090695367,0.571413,0.712697,1.934832333,6.043216667,165.254,29.37129032,0.046441387,-0.007015687,0.007457742,0.088740011,0.587883548,0.719834419,1.964790323,7.1061,137.191,4.299794872,0.001407982,0.001254484,0.625098462,0.81375641,1.316252821,7.606402564,307.98,0.088881667,0.061803067,0.0809986,0.109274949,0.034618179,-0.004601687,0.018233533,0.017498167,0.012537133,0.021013077,0.017034692,0.018076564
2020,7.124660377,112.607,0.460747358,4.815792453,7.868045455,63.097,42.41090909,0.007640141,-0.008846668,0.009781873,0.011692105,0.054588136,0.071382227,0.096432364,188.19,135.51,39.71633333,0.004409879,0.00981635,0.051046233,0.0904134,220.01,33.10516129,0.051746452,0.000456413,0.009788032,0.084036387,0.468230645,0.769944194,1.612603226,7.720522581,172.386,26.842,0.038805167,0.0057059,0.007224233,0.076200333,0.554411,0.759077767,1.86362,8.602127667,133.676,4.233263158,0.002267949,-0.000361913,0.617900263,0.742483421,1.422902105,8.477392895,292.53,0.106060333,0.041783267,0.0414238,0.106139474,0.039622274,0.014304682,0.015282467,0.0132004,0.0115134,0.025669211,0.017976868,0.023981316
2021,6.742222222,94.08,0.43311037,4.804277778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
