year,DDpre,Tpre.a,Tpre.b,DDegg1,DDegg2,DDlarv,DDpjuv,DDbjuv.a,DDbjuv.b,MLDegg,LSTegg1,LSTegg2,LSTlarv,LSTpjuv,LSTbjuv.a,LSTbjuv.b,CSTegg1,CSTegg2,CSTlarv,CSTpjuv,CSTbjuv.a,CSTbjuv.b,recdev,sd
1993,808.340783996098,6.48957388380023,10.7872920466212,1206.4526505093,1121.49578568037,1020.45039396529,953.520016156137,1601.98173495315,1554.23930215289,17.8203332349924,0.0086159789742541,0.0159525190355186,-0.0320847524608683,-0.0220755782955373,-0.0627024788728261,-0.0228076918789009,-0.000759536878230183,-0.00478116748111468,0.0132341448330681,0.0122304400935283,-0.00524017877318079,-0.00302011916123399,0.673561,0.224565
1994,736.524213048926,6.15527128239694,10.6990191866658,1222.14404642689,1093.37487910483,995.925834085319,924.178425160682,1555.6228351543,1531.51079063456,18.1677794262608,-0.0215606562283411,-0.0030255472441737,-0.0459420826259189,-0.038768285476526,-0.0953300308710705,-0.0425154307915308,0.000160998062228003,-0.00552210000243778,-0.00196008410067918,0.000612028803595382,-0.00233084263173673,-0.00606303720894914,0.31437,0.291545
1995,741.917698918361,6.13792724663134,10.5637418758347,1357.61523652475,1196.02814362488,988.291796298989,919.115424346705,1562.01118661097,1518.2545480018,19.2943801351193,0.00538202805681237,0.000437400299271435,-0.0534067907751956,-0.0489687672860426,-0.0974495909194658,-0.0520733544372142,-0.00117831304115271,-0.00851327851262015,-0.00299299941963457,0.000706661983555118,-0.00284769135706916,-0.00961433042714746,0.300087,0.250938
1996,718.945903743771,6.26562958832799,10.3125192548978,1331.33026842953,1177.50867692567,1010.71001122991,948.289602299059,1493.53083228148,1471.28357506786,18.9043743920826,-0.0345042682945434,-0.0164166774425057,-0.0431559447460659,-0.03209304562593,-0.0947263407144582,-0.0409558396786451,0.00189495099105448,-0.00487911715397209,-0.00635777779106547,-0.0022375632998655,-0.00414942578768201,-0.00804280718180643,0.0475111,0.279212
1997,863.700488176586,6.66669197551504,11.4992902205254,1354.91742256473,1206.67027432913,1016.10470969525,937.046816951514,1754.51993198159,1667.03144495958,20.2680081576033,-0.0150326663180795,0.00219856780683697,-0.0171576724436593,-0.00273008670221683,-0.0547252411046853,-0.00594917486722222,-0.000885576668303503,-0.00606352703426958,0.00116095781283227,0.0030710171584202,-0.00297767874947338,-0.00616023246184246,0.155822,0.250418
1998,895.137310305222,6.29258276900674,11.0286990354683,1474.21283370121,1337.16495377141,1045.85484304637,992.789982854389,1641.36921809928,1615.80927501807,27.5512193212445,-0.0110911242408195,-0.0132540929995233,-0.0643744079207909,-0.0534983756443592,-0.0798220515389086,-0.0270058492210922,-0.0031362330853422,-0.00816682465409827,-0.00428048066116568,0.00189800802415804,-0.006732305042859,-0.00864811095153989,0.847876,0.150895
1999,780.642164028649,6.3963167924509,10.10600903986,1147.95086757165,1058.09310656453,844.10545852916,802.662253338763,1372.57193683251,1389.45270312386,21.3089672964866,-0.0307341682066655,-0.0180196314249484,-0.0334158098188246,-0.0280356210622571,-0.102487117009139,-0.0417584447170781,0.000454950060796551,-0.00703460335770762,-0.00327642758059279,-0.00199393123772968,-0.00600484697372659,-0.00744563634818613,0.390359,0.194931
2000,781.493286354427,6.41925118887371,10.3278479832032,1212.67953878731,1091.57191133064,957.854308025362,895.14779831542,1453.65102888214,1452.46314739508,16.2755836223711,-0.0298633472875833,-0.0163485700753728,-0.0279862252235159,-0.0197640346006573,-0.0944457082920378,-0.0474732882478041,-0.00171665088571457,-0.00342921957585192,-0.00770479658715469,-0.0046770168599956,-0.00140741120382698,-0.00958553183369759,0.0391341,0.210267
2001,763.856087728557,6.46501431820999,10.1290199157528,1189.85778018428,1069.28644966074,895.642726373638,841.572892895293,1396.90669195264,1403.56039425109,18.4054876632238,-0.0202732364970982,-0.00429405676811812,-0.0240175062277186,-0.0188340329236493,-0.0856944395426349,-0.0318185921754889,-0.00310393016282073,-0.00524096032837928,-0.0133648334404809,-0.0109674050422062,-0.00552942552803446,-0.00935674300795692,-0.0451326,0.192378
2002,749.116828832305,6.44186590195877,9.73526863802189,1185.24392127877,1078.17994352862,852.281346746887,791.649313943299,1293.80855941244,1320.44130634475,17.796616982348,-0.0242769110406462,0.000283921722930717,-0.0471744821602454,-0.0430222051372881,-0.102514689908582,-0.0385368219316852,-0.00409818441968678,-0.00569538814484548,-0.00501859933137894,-0.000104769158339048,-0.00644814367263183,-0.00963019631890919,-0.0316298,0.180595
