year,DDpre,Tpre,DDegg,Tspawn,DDyolk,DDlarv,DDpjuv,DDbjuv,MLDegg,LSTegg,LSTyolk,LSTlarv,LSTpjuv,LSTbjuv,CSTegg,CSTyolk,CSTlarv,CSTpjuv,CSTbjuv,Y_rec,sd
1993,2.93750841553338,6.97670920049996,5.87751422845479,6.02709880058309,5.84621229746307,7.42222222294094,7.46912572498309,6.89978874546748,21.588169839282,0.020015357038377,0.0130585622076594,0.0271771633678357,-0.0387290714038236,-0.0103454383703285,0.00482776387341166,0.00730034344442688,0.0215100115277775,-0.00157834839586529,-0.00289402657658219,-0.541,0.5
1994,2.70553060852956,6.82493809898589,5.84054810757121,5.94975554421097,5.57823495710125,6.81259756314898,7.26595461850953,7.58795905023327,20.1401019534944,0.0028990640368684,-0.00358822474776136,-0.0261683912662369,-0.058800012152642,-0.0166752976855943,0.00317177590221144,6.78966838627239e-05,0.00761362975613486,-0.00316915031252128,-0.0025051457277244,0.405,0.22
1995,2.70484072070248,7.09545194457768,6.13787849085433,5.8973367681353,5.71400910236228,7.35199419903887,7.38769681925822,7.38403314473577,22.0295046774223,0.0159174570689931,0.00066776738561895,-0.013280781596193,-0.0578390728922621,-0.0200447842906641,0.00501880848761605,0.00151962578006157,0.00178665568162086,-0.0050232482082661,0.000825289646486978,1.33,0.16
1996,2.59873344030896,6.83111934414273,6.2666207901055,5.89481750422932,5.79708778649777,7.39457397999185,7.00919904825234,6.90732511327253,23.7788964972923,0.00612494550868841,0.00298785407042441,-0.0040743133051306,-0.057298452264419,-0.0196566546128757,0.00215237454705819,0.00243798092674089,0.0120654250279204,-0.000576307594535815,0.000962467723853052,-2.231,0.76
1997,3.54905269424536,6.57849372321515,5.61304818014994,5.94708307598738,5.56273465594993,6.56378485527836,8.59391434913129,9.35118156617618,19.3423510120554,0.000836761475440687,-0.00364352204698975,-0.0198561052093282,-0.0246973991108638,0.00197500234115448,0.00276243100165402,0.00159142227345397,0.0113296889861475,0.0107383805597501,0.00694598491858628,-2.505,0.67
1998,3.00217337255713,8.01185874492194,7.10981302028042,6.24028632070094,6.17964311898328,8.31504518521099,7.73796932949721,7.65294529960757,33.6291627409752,0.00321703806219152,-0.0052450438271744,-0.013440142361252,-0.0576621147608685,-0.0201356880444195,0.00912157148187414,0.00354122704317303,0.00978684296921617,-0.00463576158508658,0.00517168844815166,-0.108,0.32
1999,2.92960263480284,6.70213350243074,5.27781117542031,6.03818518378962,4.86412535448774,5.76002471240077,6.4816941633565,6.97083736384263,25.3723918337505,0.00473711327896985,0.00227028911696505,-0.0158285541364157,-0.0464137797529299,-0.00782570288360969,0.00768839372838965,0.00526204299691912,0.0178141031280956,-0.00438068591418766,0.000625169150477714,1.105,0.19
2000,2.81032059863758,6.75434911195934,5.73442921937137,5.87446135959293,5.56209290029987,6.83525594140584,6.80124173063947,6.8202374677415,18.7864752962194,0.00136699676791253,-0.000483876367027565,-0.007313059355628,-0.0493736813821259,-0.016166464367866,0.00887823127225935,0.00595180930809007,0.0130625065714647,-0.00685421110491358,-0.0024143181049034,2.483,0.12
2001,2.87770706553736,6.65976022829612,5.51377454041503,5.88903295103706,5.13543214329447,6.14460258791729,6.59426406629083,6.90222312707573,19.6951063612777,0.000517193692777962,-0.00588831240933773,-0.0308386153858831,-0.0547239698755044,-0.0154972568992519,0.00124297630036093,-0.00226108956627968,-0.00514522995217704,-0.0041867949323909,0.0024741428399701,1.192,0.22
2002,3.01301332783761,6.76642061512099,5.28748832625565,6.28414267373507,4.90679195225239,5.69561214160394,6.1230710101856,6.17581733468534,19.751760015296,-0.000979208396687228,-0.0109260663607427,-0.0423262807288988,-0.068624609471449,-0.018879444752692,-0.00077917888069794,-0.00146112863711651,-0.000328104741187888,-0.015807751096004,-0.0061827010476079,0.47,0.022
