variable,name,value,year,month,Model
LST,lst_90_180,0.0705155345963911,1993,1,GLORYS
LST,lst_0_180,0.0517558309850265,1993,1,GLORYS
LST,lst_0_90,0.0330600013439515,1993,1,GLORYS
LST,lst_30_130,0.0481791734120016,1993,1,GLORYS
LST,lst_180_549,0.0692937833618235,1993,1,GLORYS
LST,lst_90_180,0.0265268482739721,1993,2,GLORYS
LST,lst_0_180,0.0259198799497292,1993,2,GLORYS
LST,lst_0_90,0.0253635396140802,1993,2,GLORYS
LST,lst_30_130,0.0279972662592734,1993,2,GLORYS
LST,lst_180_549,0.019654001763395,1993,2,GLORYS
LST,lst_90_180,-0.0215439729247016,1993,3,GLORYS
LST,lst_0_180,-0.015824784762312,1993,3,GLORYS
LST,lst_0_90,-0.0101268148725094,1993,3,GLORYS
LST,lst_30_130,-0.0149049181371672,1993,3,GLORYS
LST,lst_180_549,-0.0122559575001047,1993,3,GLORYS
LST,lst_90_180,-0.0841549448404006,1993,4,GLORYS
LST,lst_0_180,-0.0605935766701907,1993,4,GLORYS
LST,lst_0_90,-0.0370062513693231,1993,4,GLORYS
LST,lst_30_130,-0.057818357355371,1993,4,GLORYS
LST,lst_180_549,-0.0887462644941031,1993,4,GLORYS
LST,lst_90_180,-0.0548304402058934,1993,5,GLORYS
LST,lst_0_180,-0.0418263550628956,1993,5,GLORYS
LST,lst_0_90,-0.0287167977599539,1993,5,GLORYS
LST,lst_30_130,-0.0427309697407299,1993,5,GLORYS
LST,lst_180_549,-0.0413481219808135,1993,5,GLORYS
LST,lst_90_180,-0.120565063217274,1993,6,GLORYS
LST,lst_0_180,-0.128531053891203,1993,6,GLORYS
LST,lst_0_90,-0.135986988698708,1993,6,GLORYS
LST,lst_30_130,-0.135730323165193,1993,6,GLORYS
LST,lst_180_549,-0.0467063654312462,1993,6,GLORYS
LST,lst_90_180,-0.110217572752783,1993,7,GLORYS
LST,lst_0_180,-0.119127640409755,1993,7,GLORYS
LST,lst_0_90,-0.127361920781076,1993,7,GLORYS
LST,lst_30_130,-0.126570964352547,1993,7,GLORYS
LST,lst_180_549,-0.00572970210531017,1993,7,GLORYS
LST,lst_90_180,-0.0651307299953534,1993,8,GLORYS
LST,lst_0_180,-0.0858386502393796,1993,8,GLORYS
LST,lst_0_90,-0.106089633608402,1993,8,GLORYS
LST,lst_30_130,-0.0919448799303848,1993,8,GLORYS
LST,lst_180_549,-0.00831076346487904,1993,8,GLORYS
LST,lst_90_180,-0.0350434348898942,1993,9,GLORYS
LST,lst_0_180,-0.0519752102156095,1993,9,GLORYS
LST,lst_0_90,-0.0686226166271624,1993,9,GLORYS
LST,lst_30_130,-0.0544239139858333,1993,9,GLORYS
LST,lst_180_549,0.0322006916849265,1993,9,GLORYS
LST,lst_90_180,0.0453523379412212,1993,10,GLORYS
LST,lst_0_180,0.0346903309698135,1993,10,GLORYS
LST,lst_0_90,0.0238637846393371,1993,10,GLORYS
LST,lst_30_130,0.0407192926855886,1993,10,GLORYS
LST,lst_180_549,0.0507350990931063,1993,10,GLORYS
LST,lst_90_180,0.0139264041294219,1993,11,GLORYS
LST,lst_0_180,-0.00851825100351307,1993,11,GLORYS
LST,lst_0_90,-0.0307899682576957,1993,11,GLORYS
LST,lst_30_130,-0.0123689403754466,1993,11,GLORYS
LST,lst_180_549,0.038056588087722,1993,11,GLORYS
LST,lst_90_180,0.086703092231169,1993,12,GLORYS
LST,lst_0_180,0.0724873060328706,1993,12,GLORYS
LST,lst_0_90,0.0583821901979879,1993,12,GLORYS
LST,lst_30_130,0.0742172851176949,1993,12,GLORYS
LST,lst_180_549,0.0632787033575976,1993,12,GLORYS
LST,lst_90_180,0.0449189186040678,1994,1,GLORYS
LST,lst_0_180,0.0312895396225025,1994,1,GLORYS
LST,lst_0_90,0.0178027386002992,1994,1,GLORYS
LST,lst_30_130,0.031342231909949,1994,1,GLORYS
LST,lst_180_549,0.0323428587953261,1994,1,GLORYS
LST,lst_90_180,-0.0145280232443164,1994,2,GLORYS
LST,lst_0_180,-0.00929217409137167,1994,2,GLORYS
LST,lst_0_90,-0.00395936961867454,1994,2,GLORYS
LST,lst_30_130,-0.00873624275969605,1994,2,GLORYS
LST,lst_180_549,-0.0177009169888309,1994,2,GLORYS
LST,lst_90_180,-0.0412432607818461,1994,3,GLORYS
LST,lst_0_180,-0.0409564148172873,1994,3,GLORYS
LST,lst_0_90,-0.0404966126996609,1994,3,GLORYS
LST,lst_30_130,-0.041749625402552,1994,3,GLORYS
