year,month,MLD_90_180,MLD_0_180,MLD_0_90,MLD_30_130,MLD_180_550,T_90_180,T_0_180,T_0_90,T_30_130,T_180_550,XV_90_180,XV_0_180,XV_0_90,XV_30_130,XV_180_550,YV_90_180,YV_0_180,YV_0_90,YV_30_130,YV_180_550
1993,1,17.796854,15.543549,13.045319,14.076835,30.678005,9.733432,9.631847,9.4422455,9.625433,9.283022,-0.0031505174,-0.002379157,-0.00070942525,-0.00060542626,-0.006360759,0.08408716,0.07612077,0.05887627,0.0680955,0.105920434
1993,2,14.715216,13.654377,12.478229,12.509851,25.596306,9.744506,9.666722,9.521537,9.676047,9.38456,-0.0025404554,-0.0024990472,-0.0024094132,-0.0025405195,-0.0040832097,0.029087266,0.027771804,0.024924235,0.024989707,0.03441475
1993,3,10.967158,10.191119,9.330729,9.633642,17.657774,9.791119,9.742592,9.652008,9.765283,9.319703,-0.00069144764,-0.00032826222,0.00045791196,0.001229811,-0.0028184322,0.034481093,0.03342301,0.031132635,0.029541023,0.030814255
1993,4,8.853247,7.933027,6.9127827,7.571263,13.099093,10.223026,10.307956,10.466479,10.392898,9.471045,0.0006753512,-0.00030590326,-0.0024299822,-0.0007453155,0.0026090683,0.015122141,0.023434209,0.04142699,0.026438022,-0.0063963197
1993,5,6.746342,6.3916473,5.9983983,6.3298144,7.450936,10.578097,10.809655,11.241861,10.968482,9.667977,0.0012634487,0.0007280814,-0.0004308058,0.00063278776,0.0006676816,-0.020942517,-0.015570197,-0.0039409627,-0.012727032,-0.017948901
1993,6,6.3689256,6.1436143,5.8938136,6.082942,7.314671,10.832736,11.101207,11.60231,11.261606,10.038586,-0.0023693785,-0.0012748718,0.0010943623,-0.00091801793,-0.00054331805,-0.06976324,-0.061903168,-0.044888746,-0.05837662,-0.053693287
1993,7,6.3891907,6.197807,5.98562,6.2072887,7.2538333,9.338512,9.436222,9.618603,9.477272,9.313677,-0.0068941796,-0.0037925788,0.0029213228,-0.0006712936,-0.002080902,-0.117975175,-0.10686701,-0.08282167,-0.09764188,-0.09083008
1993,8,6.283788,6.011553,5.709727,5.9518805,7.0020456,9.134649,9.250754,9.4674635,9.300127,9.296967,-0.001000638,-0.0005525947,0.00041726307,-0.0020154421,-0.0020136896,-0.060094018,-0.057029046,-0.050394475,-0.057297528,-0.054203272
1993,9,6.4282713,6.1827183,5.910476,6.1404724,7.2525096,9.130332,9.136886,9.149129,9.1308775,9.224802,-0.00326779,-0.0016764174,0.0017683555,-0.0015989986,-0.0065541593,-0.051890187,-0.046285808,-0.034154195,-0.041637268,-0.025724124
1993,10,6.6094346,6.391218,6.149283,6.3243036,7.603675,9.449967,9.514499,9.634946,9.583613,9.304795,0.002160702,0.002653602,0.0037205606,0.0036391504,-0.003956089,-0.00046137412,0.0009892974,0.004129509,0.00010067257,0.009530435
1993,11,10.912707,10.289318,9.598166,10.253153,11.907183,9.263668,9.274731,9.295377,9.2961445,9.190238,-0.00086277735,-0.001082756,-0.0015589345,-0.0016144629,0.0016526537,-0.003833175,-0.0011385437,0.0046944176,-0.00079319446,-0.0036002079
1993,12,14.81065,13.49033,12.026497,12.877071,21.332155,9.5541525,9.501865,9.404267,9.521541,9.165334,0.0009974665,0.00024171956,-0.0013942138,0.0012580411,-0.0009508773,0.086077996,0.08397916,0.07943589,0.082458325,0.07397829
1994,1,13.901467,12.188767,10.289904,11.249275,21.608355,9.811298,9.740887,9.609455,9.757411,9.3745775,-0.0033692794,-0.0025633627,-0.00081882864,-5.4024495e-05,-0.0002780449,0.06329764,0.057865776,0.046107672,0.05155641,0.06040114
1994,2,17.968369,15.623107,13.022928,14.440674,25.021267,9.663584,9.600788,9.4835825,9.620446,9.253836,0.00017939549,0.00073782896,0.0019466478,0.0020747574,0.0020537549,0.043087516,0.041249372,0.037270382,0.037554044,0.026729155
1994,3,12.0883045,10.698793,9.158248,10.048928,15.794814,9.644076,9.643944,9.643699,9.67977,9.143501,-0.0020916613,-0.001333726,0.0003069459,-0.00021966711,-0.0009388306,0.004655856,0.00662991,0.010903064,0.0067711845,-0.0032821726
1994,4,8.559084,8.062431,7.5117936,8.000164,8.883238,9.630349,9.72203,9.893156,9.802569,9.050831,0.00079294725,0.0010946936,0.0017478709,0.0012048702,-8.695075e-06,-0.06989202,-0.063030265,-0.04817691,-0.059372496,-0.06688116
1994,5,6.4191175,6.2504044,6.0633516,6.2762656,6.7078624,9.507106,9.664987,9.959673,9.76019,8.965081,0.0011080356,0.0015643405,0.0025520842,0.001464265,-0.002688766,-0.098190814,-0.08725326,-0.063577235,-0.08006271,-0.08663337
1994,6,6.3078127,6.189729,6.058811,6.218135,6.977724,9.505698,9.766867,10.254337,9.897893,9.024734,-0.0051913057,-0.0025241897,0.0032492024,-0.0021742014,0.0021731248,-0.10597081,-0.098272786,-0.08160915,-0.0956356,-0.07954214
