"Year","Month","Day","H2a","H7a","H8a","H10","H21a"
1980,1,13,6.749,-0.0002334,6.571,0.001395,10.89
1980,1,17,6.762,0.001188,6.596,5.178e-05,10.85
1980,1,21,6.404,0.0007794,6.607,-0.001179,10.67
1980,1,25,6.298,0.0003112,6.672,0.0003849,10.74
1980,1,29,6.229,0.001051,6.716,1.728e-05,10.36
1980,2,2,6.483,0.001145,6.75,-0.00111,10.36
1980,2,6,6.568,0.001997,6.779,-0.002652,10.47
1980,2,10,6.419,0.001835,6.789,-0.003126,10.51
1980,2,14,6.457,0.0005759,6.833,-0.0003599,10.55
1980,2,18,6.637,0.001013,6.861,0.0009871,10.63
1980,2,22,6.784,0.002289,6.887,-0.003112,10.66
1980,2,26,7.089,0.001195,6.915,-0.001967,10.83
1980,3,1,7.248,0.003238,6.964,-0.00121,11.04
1980,3,5,7.034,0.003439,6.98,-0.001172,11.17
1980,3,9,6.952,0.003765,7,-0.003505,11.23
1980,3,13,6.789,0.004298,7.028,-0.004511,11.11
1980,3,17,6.709,0.004889,7.017,-0.00482,10.86
1980,3,21,6.355,0.004991,7.006,-0.005536,10.78
1980,3,25,6.103,0.005082,7.018,-0.004761,10.73
1980,3,29,6.074,0.006249,7.006,-0.005394,10.73
1980,4,2,5.981,0.0068,6.99,-0.007648,10.74
1980,4,6,6.132,0.004942,6.991,-0.004668,10.73
1980,4,10,6.154,0.007054,7.03,-0.007928,10.82
1980,4,14,6.203,0.006533,7.039,-0.008014,11.2
1980,4,18,6.265,0.00669,6.986,-0.008406,11.26
1980,4,22,6.145,0.006648,6.999,-0.009901,11.33
1980,4,26,5.972,0.005805,7.058,-0.01046,11.42
1980,4,30,5.694,0.005869,7.073,-0.01078,11.6
1980,5,4,5.531,0.004297,7.044,-0.007621,11.52
1980,5,8,5.718,0.005622,7.041,-0.007124,11.76
1980,5,12,5.853,0.005059,7.035,-0.005675,11.87
1980,5,16,5.84,0.005738,7.02,-0.006845,12.4
1980,5,20,5.811,0.004682,7,-0.006238,13.04
1980,5,24,5.79,0.00658,6.993,-0.005406,12.63
1980,5,28,5.754,0.006427,6.981,-0.006016,12.49
1980,6,1,5.813,0.006355,6.958,-0.004454,12.53
1980,6,5,5.864,0.005771,6.936,-0.002788,12.91
1980,6,9,6.005,0.004556,6.92,-0.001044,13.47
1980,6,13,6.032,0.003384,6.904,-0.0009399,14.04
1980,6,17,6.043,0.002846,6.896,-0.0002567,14.2
1980,6,21,6.13,0.002868,6.889,0.0007071,14.84
1980,6,25,6.466,0.003819,6.887,0.002365,15.23
1980,6,29,6.499,0.003926,6.877,-0.0004136,15.37
1980,7,3,6.39,0.003217,6.874,0.0009672,15.31
1980,7,7,6.433,0.004914,6.864,-0.0005131,15.76
1980,7,11,6.446,0.004195,6.871,-0.0005411,16.39
1980,7,15,6.398,0.004891,6.873,0.0004087,16.38
1980,7,19,6.381,0.004678,6.869,0.001774,16.28
1980,7,23,6.311,0.005575,6.866,0.001061,16.27
1980,7,27,6.144,0.004447,6.874,-0.001446,15.64
1980,7,31,6.212,0.003945,6.874,-0.0006393,15.12
1980,8,4,6.103,0.004185,6.863,-0.002612,15.1
1980,8,8,6.072,0.002438,6.865,-0.000634,15.07
1980,8,12,6.143,0.001873,6.848,0.0001011,15.22
1980,8,16,6.287,0.0009261,6.82,-5.896e-05,15.26
1980,8,20,6.411,-0.0001821,6.827,0.001145,15.17
1980,8,24,6.407,0.000206,6.83,0.0002489,14.9
1980,8,28,6.44,-0.0004592,6.822,-0.001484,15
1980,9,1,6.537,-0.0006492,6.828,-0.001205,15.69
1980,9,5,6.56,-0.001054,6.833,-0.002284,15.76
1980,9,9,6.591,-0.001166,6.82,-0.001159,16.02
1980,9,13,6.639,-0.001131,6.834,-0.001316,16.14
1980,9,17,6.532,-0.002385,6.822,-0.002084,15.53
1980,9,21,6.38,-0.001749,6.813,-0.003717,15.29
1980,9,25,6.249,-0.003189,6.809,-0.00271,15.19
1980,9,29,6.337,-0.002765,6.814,-0.002614,15.6
1980,10,3,6.356,-0.003709,6.802,-0.002656,15.81
1980,10,7,6.599,-0.003787,6.807,-0.001685,16.04
1980,10,11,6.567,-0.002982,6.812,-0.001666,15.21
1980,10,15,6.664,-0.001415,6.83,-0.0004785,14.97
1980,10,19,6.533,-0.0007517,6.836,-0.003415,14.84
1980,10,23,6.563,-0.0008181,6.838,-0.002909,14.66
1980,10,27,6.435,-3.765e-05,6.815,-0.001662,14.55
1980,10,31,6.51,-0.0001377,6.804,-0.001031,14.62
1980,11,4,6.708,0.0006591,6.847,-0.002028,14.86
1980,11,8,6.819,0.00118,6.926,-0.003001,14.77
1980,11,12,6.66,0.001152,6.93,-0.003813,14.22
1980,11,16,6.444,0.0007545,6.927,-0.004412,13.93
1980,11,20,6.544,0.0001061,6.92,-0.002679,13.9
1980,11,24,6.564,0.0001687,6.918,-0.002965,13.68
1980,11,28,6.757,-0.0004586,6.925,-0.002101,13.57
1980,12,2,6.729,-0.0005123,6.943,2.034e-05,13.04
1980,12,6,6.804,0.0002987,6.946,-0.0005365,12.55
1980,12,10,6.637,-0.0008791,6.943,-0.003359,12.19
1980,12,14,6.702,-0.001384,6.953,-0.000993,12.21
1980,12,18,6.67,-0.001418,6.96,-0.0003066,12.15
1980,12,22,6.853,-0.001079,6.965,0.001153,12.23
1980,12,26,7.073,-0.0006528,6.968,0.0001481,12.34
1980,12,30,6.976,-0.0004613,6.964,-0.0003589,12.42
1981,1,3,6.931,-0.001314,6.976,0.0002866,12.47
1981,1,7,6.896,-0.0006444,6.983,-0.00149,12.44
1981,1,11,6.841,-0.0006617,6.983,-0.002516,12.35
1981,1,15,6.523,-0.0009513,6.991,-0.001326,12.37
1981,1,19,6.891,-0.001498,7.034,0.0002702,12.49
1981,1,23,7.218,-0.0009713,7.046,-0.0008863,12.45
1981,1,27,6.658,-0.0008709,7.033,-0.0009429,12.27
1981,1,31,6.474,-0.0009232,7.012,-0.001515,11.98
1981,2,4,6.211,-0.0005102,7.019,-0.003489,11.93
1981,2,8,6.202,-0.001593,7.024,-0.0008258,11.81
1981,2,12,6.39,-0.001583,7.015,-0.0001707,11.69
1981,2,16,6.672,-0.0002945,7.105,-0.001048,11.97
1981,2,20,6.264,-0.0001909,7.156,-0.00278,11.94
1981,2,24,6.242,-0.001132,7.151,-0.0002866,11.86
1981,2,28,6.375,-0.0003674,7.15,-0.001219,11.79
1981,3,4,6.381,0.0006509,7.137,-0.006124,11.74
1981,3,8,6.196,-0.0008917,7.127,-0.006019,11.66
1981,3,12,6.086,-0.0003207,7.116,-0.001564,11.69
1981,3,16,6.047,0.001515,7.124,-0.002814,11.63
1981,3,20,6.146,0.001166,7.131,-0.003218,11.64
1981,3,24,6.319,0.001785,7.136,-0.004925,11.69
1981,3,28,6.216,0.002221,7.108,-0.006668,11.68
1981,4,1,6.036,0.0007749,7.104,-0.006248,11.58
1981,4,5,5.934,0.002153,7.134,-0.006717,11.58
1981,4,9,5.791,0.002166,7.148,-0.006562,11.52
1981,4,13,5.835,0.002582,7.145,-0.003623,11.51
1981,4,17,5.867,0.002223,7.144,-0.004122,11.79
1981,4,21,5.862,0.002045,7.143,-0.004288,12.03
1981,4,25,5.821,0.001772,7.115,-0.005734,12.15
1981,4,29,5.787,0.0004233,7.093,-0.006911,12.38
1981,5,3,5.809,-0.0009091,7.104,-0.005349,12.71
1981,5,7,5.734,-5.889e-05,7.121,-0.005724,12.48
1981,5,11,5.605,-0.0004352,7.126,-0.006043,12.35
1981,5,15,5.73,-0.0008665,7.134,-0.002989,12.37
1981,5,19,5.422,-0.001058,7.146,-0.002184,12.65
1981,5,23,5.436,-0.002701,7.164,-0.002164,13.09
1981,5,27,5.748,-0.002312,7.171,-0.002655,13.22
1981,5,31,5.919,-0.003301,7.14,-0.001733,13.86
1981,6,4,6.016,-0.004532,7.107,0.0001212,14.46
1981,6,8,6.064,-0.003538,7.103,-0.0006313,14.83
1981,6,12,6.301,-0.001602,7.121,-0.0004556,14.99
1981,6,16,6.205,-0.0009575,7.105,-0.002869,14.92
1981,6,20,6.178,-0.001862,7.115,-0.001818,15.33
1981,6,24,6.158,-0.0004847,7.116,-0.002526,15.44
1981,6,28,6.035,-9.986e-05,7.093,-0.003864,15.1
1981,7,2,5.769,-0.00192,7.07,-0.0006315,14.97
1981,7,6,5.506,-0.001744,7.046,-0.002893,14.8
1981,7,10,5.681,-0.003264,7,-0.001751,14.78
1981,7,14,5.808,-0.005626,6.97,0.00178,15.62
1981,7,18,5.794,-0.006189,6.963,0.0002752,14.99
1981,7,22,5.854,-0.00584,6.968,0.001166,15.55
1981,7,26,5.939,-0.005963,6.984,-0.0004367,15.05
1981,7,30,6.032,-0.006759,6.974,-0.0006573,15.31
1981,8,3,6.124,-0.005836,6.965,-0.002692,15.89
1981,8,7,6.16,-0.005658,6.983,-0.002588,15.86
1981,8,11,6.249,-0.00514,6.999,0.001406,15.81
1981,8,15,6.339,-0.004289,7.004,0.0008146,16.33
1981,8,19,6.442,-0.003228,7.012,-0.001363,17.03
1981,8,23,6.522,-0.002929,7.028,-0.003015,16.54
1981,8,27,6.529,-0.001273,7.009,-0.003337,16.59
1981,8,31,6.546,0.0005542,7.009,-0.003435,16.18
