"Year","DDpre","CSTegg","DDegg","LSTyolk","DDlarv","Version","resids2019","recdev2019","tot.bio","age.4","age.0","sp.bio","resids"
1979,NA,NA,NA,NA,NA,NA,NA,NA,410334,372777,34506,129830,19133.3753450462
1980,NA,NA,NA,NA,NA,NA,NA,NA,393413,389358,19487,122346,4213.53972011688
1981,159.422,0.0067589,107.583,-0.1141971,256.99,"old",3735.96877584656,1.06965,391318,411453,23348,120419,8101.8418201655
1982,155.819,-0.02216895,100.111,-0.1524422,200.485,"old",-6193.63553285581,0.233559,387804,384605,12732,118835,-2491.12884447025
1983,180.315,0.02701978,106.393,-0.2824512,231.77,"old",-9375.50758515201,-0.317082,374126,374081,5040,114082,-10110.6447653868
1984,184.296,0.001235897,107.502,0.0777549,224.051,"old",9754.11623950107,1.37108,360558,362715,15914,111180,810.28730494422
1985,159.617,0.025505612,99.829,0.05480029,192.171,"old",10284.6351690521,1.39632,346475,345257,26777,107978,11727.6326820155
1986,168.065,0.115716,99.347,0.0265166,214.615,"old",1499.89410225476,0.941186,334918,320162,22596,103066,7635.71001004932
1987,175.444,0.0823779,103.371,-0.273751,225.61,"old",-1822.72204496591,0.6932,326692,283671,14363,98264,-502.766254360182
1988,181.394,0.118944,98.938,-0.1192206,205.327,"old",-4316.29281448902,0.451502,319140,167549,13692,94833,-1101.18623434532
1989,153.812,0.0767037,88.63,-0.02765366,192.344,"old",6998.55179534018,1.26358,312966,172655,19961,92958,5209.41982167968
1990,173.284,0.03253325,96.578,-0.0182114,196.011,"old",10074.8679023713,1.40683,307956,168704,25798,91350,11083.2651961231
1991,162.3,0.03309523,90.774,-0.0228418,189.235,"old",-9201.16368715433,-0.341099,306647,178288,8681,89999,-6001.90932559421
1992,165.313,0.12791506,100.711,-0.268431,252.28,"old",-9060.34494581159,-0.315125,303007,168371,8887,88797,-5766.90016882048
1993,178.578,-0.001435,93.332,0.03484,214.827,"old",-9202.53297799713,-0.356801,297185,183228,5635,88626,-9014.71878095697
1994,172.367,0.104653,89.415,-0.0379156,229.14,"old",-2627.98220449704,0.623891,289429,198689,13092,88044,-1543.38381240077
1995,165.58,0.167578,94.088,-0.194819,221.62,"old",4168.07421565691,1.12488,281595,213512,21416,86757,6812.8955414952
1996,166.73,0.04113404,91.64,0.0203632,229.5,"old",-11959.4758846425,-1.67536,275652,222408,2043,84140,-12491.8933668331
1997,175.268,0.15733,90.047,-0.160674,230.301,"old",-11551.3570328443,-1.41731,267021,233814,2483,81208,-11971.083142675
1998,203.758,0.147838,109.405,-0.2032652,240.29,"old",-7797.88236175339,-0.0870656,256379,239977,6733,79241,-7664.06391268429
1999,167.756,0.1233825,90.756,0.07881415,185.914,"old",25678.2214127011,1.96248,248266,229930,33340,77759,18987.486400182
2000,167.035,0.150842,87.235,-0.0576937,218.644,"old",22501.3819659696,1.88406,244092,238889,25635,74571,11383.2941142043
2001,169.579,0.158174,85.606,0.03318266,196.797,"old",3860.92467859894,1.13361,245366,243628,16523,71066,2390.70311293105
2002,147.726,0.0348373,79.975,-0.038396469,187.627,"old",-6232.7032070781,0.165037,249504,206699,6878,70426,-7231.44043105417
2003,163.91,0.168275,87.016,-0.2502327,229.01,"old",-9894.31155967021,-0.718405,253972,235913,2907,72244,-11266.4945516935
2004,156.007,0.120769,86.825,-0.1160424,234.27,"old",-7097.42750115282,0.0336948,253012,223869,5991,74192,-8248.24447446813
2005,161.155,0.0859118,89.092,-0.1020394,232.4,"old",-12478.3118411274,-2.95542,248374,216046,642,75200,-13630.1571697208
2006,168.429,0.120637,88.106,0.034728,211.412,"old",-11584.0631096783,-1.48856,239407,245598,1822,74485,-12426.8874461539
2007,172.139,0.149562,89.243,-0.1686152,201.365,"old",-12341.668315318,-2.48204,227809,258958,1317,72609,-12869.0357745768
2008,159.479,0.1186155,80.376,-0.00371702,171.409,"old",17239.2674626998,1.71303,215332,268573,28068,69741,13983.4037588493
2009,149.619,0.03801294,78.085,-0.0157278,177.054,"old",-11794.6697845746,-1.8656,208149,276886,1681,65698,-12248.4140282762
2010,150.871,0.139413,85.684,-0.1192832,209.65,"old",2647.00452337539,1.05772,199449,271370,16124,60360,2424.83896101154
2011,147.624,0.292243,82.826,0.2441154,193.135,"new",-7431.64914718266,-0.0634913,194342,279389,5183,57637,-8385.74471504354
2012,160.17,0.06794774,93.264,0.1705384,186.543,"new",-8367.3798303201,-0.291948,189468,285507,3974,54800,-9448.10921685763
2013,176.348,0.03722277,92.377,0.05506332,201.305,"new",17615.3232104,1.76808,184733,284467,46247,53841,32877.1752499617
2014,160.957,0.0611711,93.653,0.065694808,229.437,"new",-7048.83846916758,0.00395903,190902,285090,3671,53125,-9658.83463003796
2015,206.036,0.0820808,106.687,-0.0122685,259.84,"new",-454.440109404233,0.834045,196296,272546,13067,52001,-198.343467894971
2016,206.146,-0.1434042,105.919,-0.1986966,258.87,"new",44217.7450859174,2.41069,NA,NA,NA,NA,NA
2017,185.132,-0.0120125,104.843,-0.1353768,215.05,"new",-10497.2344404405,-1.12726,NA,NA,NA,NA,NA
2018,192.138,0.1033841,109.524,-0.13352982,217.712,"new",-8475.78816278539,-1.2284,NA,NA,NA,NA,NA
