year,tot.bio,age.4,age.0,sp.bio
1979,410334,372777,34506,129830
1980,393413,389358,19487,122346
1981,391318,411453,23348,120419
1982,387804,384605,12732,118835
1983,374126,374081,5040,114082
1984,360558,362715,15914,111180
1985,346475,345257,26777,107978
1986,334918,320162,22596,103066
1987,326692,283671,14363,98264
1988,319140,167549,13692,94833
1989,312966,172655,19961,92958
1990,307956,168704,25798,91350
1991,306647,178288,8681,89999
1992,303007,168371,8887,88797
1993,297185,183228,5635,88626
1994,289429,198689,13092,88044
1995,281595,213512,21416,86757
1996,275652,222408,2043,84140
1997,267021,233814,2483,81208
1998,256379,239977,6733,79241
1999,248266,229930,33340,77759
2000,244092,238889,25635,74571
2001,245366,243628,16523,71066
2002,249504,206699,6878,70426
2003,253972,235913,2907,72244
2004,253012,223869,5991,74192
2005,248374,216046,642,75200
2006,239407,245598,1822,74485
2007,227809,258958,1317,72609
2008,215332,268573,28068,69741
2009,208149,276886,1681,65698
2010,199449,271370,16124,60360
2011,194342,279389,5183,57637
2012,189468,285507,3974,54800
2013,184733,284467,46247,53841
2014,190902,285090,3671,53125
2015,196296,272546,13067,52001
